idnumber,condtion,VSAR,SBCSQ,VVLSR,LSQ,BAML,SAdep,SAnon,presJOL,perpJOL,postsJOL,experiment,totalstudy
502,0,0,10,3,4,3,0,0,70,30,10,2,122.0778
503,1,0,1,0,3,4,0,0,90,87.5,83,2,415.092
504,2,-1,4,0,4,3,0,16.66666667,60,50,50,2,174.861
505,1,1,2,1,4,3,100,100,90,87.5,90,2,317.403
506,0,-1,3,0,5,3,66.66666667,66.66666667,80,77.5,75,2,251.985
507,2,-1,6,2,4,3,66.66666667,50,75,62.5,60,2,272.385
508,0,1,5,2,5,3,0,0,60,42.5,50,2,155.3538
509,2,-1,4,2,4,4,0,0,75,35,40,2,186.228
510,1,-1,4,-1,2,3,0,0,52,40,50,2,12.3102
512,1,0,6,1,5,3,33.33333333,33.33333333,54,55,43,2,204.5742
514,1,0,0,0,4,2,16.66666667,33.33333333,85,85,75,2,186.342
515,0,0,4,2,2,3,50,16.66666667,65,45,50,2,251.4852
517,0,0,1,0,3,4,16.66666667,33.33333333,60,40,40,2,414.7542
520,2,0,4,2,4,3,16.66666667,33.33333333,100,100,100,2,201
521,1,-1,3,0,3,2,66.66666667,33.33333333,60,60,65,2,277.3332
522,0,-1,4,0,4,3,16.66666667,33.33333333,79,45,55,2,122.373
523,2,-1,4,2,5,3,50,16.66666667,80,75,80,2,289.143
524,0,1,2,0,5,3,0,0,60,80,80,2,201.528
525,2,-1,2,1,5,3,16.66666667,66.66666667,80,87.5,85,2,312.3288
526,1,1,5,1,4,3,33.33333333,50,75,72,85,2,211.209
527,0,1,7,2,4,2,50,33.33333333,50,70,70,2,264.3642
528,1,0,5,2,5,3,50,83.33333333,100,100,100,2,325.3302
529,2,0,6,1,5,3,0,16.66666667,85,90,70,2,248.3802
530,1,0,2,0,5,2,100,66.66666667,70,75,70,2,301.485
531,0,2,2,0,4,3,50,50,60,80,75,2,208.503
532,2,-1,6,1,2,3,83.33333333,50,80,70,80,2,503.964
533,0,-1,-3,-3,5,3,16.66666667,16.66666667,80,72.5,75,2,213.8958
534,2,0,14,2,5,2,66.66666667,33.33333333,85,80,85,2,234.5622
535,1,-1,9,2,2,3,66.66666667,33.33333333,80,80,80,2,230.34
536,0,-2,-7,-2,3,2,50,50,75,62.5,62,2,141.759
537,1,-2,12,3,4,3,33.33333333,0,50,55,50,2,187.2558
538,2,0,4,3,5,3,0,16.66666667,99,55,65,2,91.3668
542,0,0,10,1,3,3,33.33333333,33.33333333,80,42.5,45,2,162.3822
543,2,1,7,2,4,3,33.33333333,33.33333333,70,50,45,2,288.924
544,1,0,0,0,3,3,0,16.66666667,50,50,15,2,28.1232
546,1,-1,6,3,5,3,50,16.66666667,50,30,20,2,491.7792
547,2,0,3,2,5,3,83.33333333,50,70,72.5,75,2,177.621
548,1,1,11,1,5,3,66.66666667,16.66666667,75,57.5,50,2,148.9218
549,0,0,4,2,2,3,0,16.66666667,75,50,50,2,14.121
550,2,1,6,2,5,3,33.33333333,16.66666667,90,77.5,70,2,249.0408
552,2,1,11,2,5,3,33.33333333,16.66666667,70,60,65,2,514.7112
553,1,0,2,0,2,3,0,0,60,60,40,2,65.067
554,0,1,7,2,5,4,16.66666667,16.66666667,75,40,25,2,242.4648
555,1,0,0,0,4,2,0,0,70,50,50,2,222.438
556,2,1,8,-1,5,4,0,16.66666667,60,48.5,40,2,160.7502
557,1,0,4,1,3,3,66.66666667,16.66666667,80,70,80,2,335.0262
558,0,1,0,1,4,2,50,50,80,80,80,2,273.738
