idnumber,condtion,VSAR,SBCSQ,VVLSR,LSQ,BAML,SAdep,SAnon,presJOL,perpJOL,postsJOL,experiment
413,1,0,2,2,5,3,83.33333333,66.66666667,80,72.5,80,2
418,1,0,6,2,5,2,50,0,60,65,68,2
420,1,-1,6,2,5,3,33.33333333,16.66666667,80,65,50,2
429,1,0,4,0,3,3,100,66.66666667,90,72.5,80,2
431,1,2,2,0,1,4,50,16.66666667,85,90,85,2
436,1,-1,10,2,4,3,66.66666667,50,80,77.5,80,2
438,1,-1,3,1,3,3,50,33.33333333,75,27.5,25,2
442,1,0,0,2,4,2,50,33.33333333,75,50,70,2
449,1,-1,3,1,4,4,50,50,70,85,80,2
451,1,-2,-3,0,2,3,66.66666667,66.66666667,75,75,70,2
456,1,1,10,1,5,4,50,16.66666667,80,77.5,80,2
458,1,-1,4,2,3,3,66.66666667,50,85,77.5,80,2
467,1,1,2,0,3,3,66.66666667,16.66666667,100,50,75,2
474,1,2,9,2,4,2,66.66666667,50,100,80,90,2
476,1,2,6,2,5,3,83.33333333,66.66666667,70,62.5,60,2
483,1,-1,4,0,5,3,50,50,75,67.5,50,2
485,1,2,2,0,5,3,33.33333333,50,50,45,40,2
492,1,-1,1,-1,3,3,66.66666667,33.33333333,50,45,45,2
494,1,1,3,1,4,4,50,16.66666667,60,32.5,40,2
496,1,-2,3,2,5,2,100,83.33333333,97,94.5,93,2
501,1,0,6,2,5,3,16.66666667,0,90,75,75,2
503,1,0,1,0,3,4,0,0,90,87.5,83,2
505,1,1,2,1,4,3,100,100,90,87.5,90,2
510,1,-1,4,-1,2,3,0,0,52,40,50,2
512,1,0,6,1,5,3,33.33333333,33.33333333,54,55,43,2
514,1,0,0,0,4,2,16.66666667,33.33333333,85,85,75,2
521,1,-1,3,0,3,2,66.66666667,33.33333333,60,60,65,2
526,1,1,5,1,4,3,33.33333333,50,75,72,85,2
528,1,0,5,2,5,3,50,83.33333333,100,100,100,2
530,1,0,2,0,5,2,100,66.66666667,70,75,70,2
535,1,-1,9,2,2,3,66.66666667,33.33333333,80,80,80,2
537,1,-2,12,3,4,3,33.33333333,0,50,55,50,2
544,1,0,0,0,3,3,0,16.66666667,50,50,15,2
546,1,-1,6,3,5,3,50,16.66666667,50,30,20,2
548,1,1,11,1,5,3,66.66666667,16.66666667,75,57.5,50,2
553,1,0,2,0,2,3,0,0,60,60,40,2
555,1,0,0,0,4,2,0,0,70,50,50,2
557,1,0,4,1,3,3,66.66666667,16.66666667,80,70,80,2
408,2,-1,6,3,5,3,16.66666667,33.33333333,75,72.5,70,2
412,2,0,6,0,3,3,50,0,70,65,60,2
415,2,0,4,0,4,3,50,16.66666667,60,30,40,2
424,2,0,11,0,5,3,33.33333333,33.33333333,90,92.5,90,2
426,2,1,0,0,4,3,33.33333333,33.33333333,70,80,75,2
430,2,0,3,1,5,3,0,16.66666667,60,40,45,2
433,2,1,11,2,5,5,0,0,70,80,75,2
435,2,1,13,2,4,3,50,66.66666667,68,77.5,80,2
441,2,1,3,0,4,3,33.33333333,66.66666667,70,80,70,2
444,2,1,2,1,3,3,83.33333333,33.33333333,80,77.5,75,2
446,2,-1,6,3,5,2,100,33.33333333,80,70,78,2
453,2,-1,3,2,5,4,33.33333333,16.66666667,80,75,75,2
455,2,0,0,2,5,2,0,16.66666667,75,81.5,75,2
459,2,0,3,1,5,3,100,66.66666667,65,75,70,2
468,2,1,11,2,4,3,0,16.66666667,60,50.5,80,2
471,2,1,5,2,5,4,66.66666667,66.66666667,75,90,85,2
477,2,0,-1,0,3,3,0,16.66666667,90,50,20,2
480,2,1,-1,-1,4,3,0,33.33333333,70,72.5,70,2
482,2,0,8,2,5,3,0,16.66666667,65,30,20,2
486,2,0,4,1,3,3,33.33333333,16.66666667,65,35,50,2
489,2,0,2,0,4,3,16.66666667,33.33333333,75,81.75,70,2
491,2,-1,6,3,3,3,33.33333333,50,80,55,65,2
495,2,1,6,1,5,3,33.33333333,50,85,77.5,80,2
498,2,0,7,2,4,3,16.66666667,0,60,85,80,2
500,2,1,10,2,5,4,16.66666667,16.66666667,85,82.5,80,2
504,2,-1,4,0,4,3,0,16.66666667,60,50,50,2
507,2,-1,6,2,4,3,66.66666667,50,75,62.5,60,2
509,2,-1,4,2,4,4,0,0,75,35,40,2
520,2,0,4,2,4,3,16.66666667,33.33333333,100,100,100,2
523,2,-1,4,2,5,3,50,16.66666667,80,75,80,2
525,2,-1,2,1,5,3,16.66666667,66.66666667,80,87.5,85,2
529,2,0,6,1,5,3,0,16.66666667,85,90,70,2
532,2,-1,6,1,2,3,83.33333333,50,80,70,80,2
534,2,0,14,2,5,2,66.66666667,33.33333333,85,80,85,2
538,2,0,4,3,5,3,0,16.66666667,99,55,65,2
543,2,1,7,2,4,3,33.33333333,33.33333333,70,50,45,2
547,2,0,3,2,5,3,83.33333333,50,70,72.5,75,2
550,2,1,6,2,5,3,33.33333333,16.66666667,90,77.5,70,2
552,2,1,11,2,5,3,33.33333333,16.66666667,70,60,65,2
556,2,1,8,-1,5,4,0,16.66666667,60,48.5,40,2
